energy_eV,atomic_number,element,line,relative_intensity,col4_norm
10264.2,31,Ga,Kb1,66,0.437086
10260.3,31,Ga,Kb3,5,0.033113
1097.9,31,Ga,"La1,2",111,1
1124.8,31,Ga,Lb1,66,0.594595
957.2,31,Ga,Ll,7,0.063063
42996.2,64,Gd,Ka1,100,0.662252
42308.9,64,Gd,Ka2,56,0.370861
48697,64,Gd,Kb1,20,0.13245
49959,64,Gd,Kb2,7,0.046358
48555,64,Gd,Kb3,10,0.066225
6057.2,64,Gd,La1,100,0.900901
6025,64,Gd,La2,11,0.099099
6713.2,64,Gd,Lb1,1,0.009009
7102.8,64,Gd,"Lb2,15",21,0.189189
7785.8,64,Gd,Lg1,11,0.099099
5362.1,64,Gd,Ll,4,0.036036
1185,64,Gd,Ma1,100,1
9886.4,32,Ge,Ka1,100,0.662252
9855.3,32,Ge,Ka2,51,0.337748
10982.1,32,Ge,Kb1,60,0.397351
10978,32,Ge,Kb3,6,0.039735
1188,32,Ge,"La1,2",111,1
1218.5,32,Ge,Lb1,60,0.540541
1036.2,32,Ge,Ll,6,0.054054
55790.2,72,Hf,Ka1,100,0.662252
54611.4,72,Hf,Ka2,57,0.377483
63234,72,Hf,Kb1,22,0.145695
64980,72,Hf,Kb2,7,0.046358
62980,72,Hf,Kb3,11,0.072848
7899,72,Hf,La1,100,0.900901
7844.6,72,Hf,La2,11,0.099099
9022.7,72,Hf,Lb1,67,0.603604
9347.3,72,Hf,Lb2,20,0.18018
10515.8,72,Hf,Lg1,12,0.108108
6959.6,72,Hf,Ll,5,0.045045
1644.6,72,Hf,Ma1,100,1
70819,80,Hg,Ka1,100,0.662252
68895,80,Hg,Ka2,59,0.390728
80253,80,Hg,Kb1,23,0.152318
82515,80,Hg,Kb2,8,0.05298
79822,80,Hg,Kb3,12,0.07947
9988.8,80,Hg,La1,100,0.900901
9897.6,80,Hg,La2,11,0.099099
11822.6,80,Hg,Lb1,67,0.603604
11924.1,80,Hg,Lb2,24,0.216216
13830.1,80,Hg,Lg1,14,0.126126
8721,80,Hg,Ll,5,0.045045
2195.3,80,Hg,Ma1,100,1
47546.7,67,Ho,Ka1,100,0.662252
46699.7,67,Ho,Ka2,56,0.370861
53877,67,Ho,Kb1,20,0.13245
55293,67,Ho,Kb2,7,0.046358
53711,67,Ho,Kb3,11,0.072848
6719.8,67,Ho,La1,100,0.900901
6679.5,67,Ho,La2,11,0.099099
7525.3,67,Ho,Lb1,64,0.576577
7911,67,Ho,"Lb2,15",20,0.18018
8747,67,Ho,Lg1,11,0.099099
5943.4,67,Ho,Ll,4,0.036036
1348,67,Ho,Ma1,100,1
28612,53,I,Ka1,100,0.662252
28317.2,53,I,Ka2,54,0.357616
32294.7,53,I,Kb1,18,0.119205
33042,53,I,Kb2,5,0.033113
32239.4,53,I,Kb3,9,0.059603
3937.6,53,I,"La1,2",1,0.009009
3926,53,I,La2,11,0.099099
4220.7,53,I,Lb1,61,0.54955
4507.5,53,I,"Lb2,15",19,0.171171
4800.9,53,I,Lg1,8,0.072072
3485,53,I,Ll,4,0.036036
24209.7,49,In,Ka1,100,0.662252
24002,49,In,Ka2,53,0.350993
27275.9,49,In,Kb1,17,0.112583
27860.8,49,In,Kb2,5,0.033113
27237.7,49,In,Kb3,9,0.059603
3286.9,49,In,La1,100,0.900901
3279.3,49,In,La2,11,0.099099
3487.2,49,In,Lb1,1,0.009009
3713.8,49,In,"Lb2,15",15,0.135135
3920.8,49,In,Lg1,6,0.054054
2904.4,49,In,Ll,4,0.036036
64895.6,77,Ir,Ka1,100,0.662252
63286.7,77,Ir,Ka2,58,0.384106
73560.8,77,Ir,Kb1,23,0.152318
75575,77,Ir,Kb2,8,0.05298
73202.7,77,Ir,Kb3,12,0.07947
9175.1,77,Ir,La1,100,0.900901
9099.5,77,Ir,La2,11,0.099099
10708.3,77,Ir,Lb1,66,0.594595
10920.3,77,Ir,Lb2,22,0.198198
12512.6,77,Ir,Lg1,13,0.117117
8045.8,77,Ir,Ll,5,0.045045
1979.9,77,Ir,Ma1,100,1
3313.8,19,K,Ka1,100,0.662252
3311.1,19,K,Ka2,50,0.331126
3589.6,19,K,"Kb1,3",11,0.072848
12649,36,Kr,Ka1,100,0.662252
12598,36,Kr,"Ka1,2",2,0.013245
14112,36,Kr,Kb1,14,0.092715
14315,36,Kr,Kb2,2,0.013245
14104,36,Kr,Kb3,7,0.046358
1586,36,Kr,"La1,2",111,1
1636.6,36,Kr,Lb1,57,0.513514
1386,36,Kr,Ll,5,0.045045
33441.8,57,La,Ka1,100,0.662252
33034.1,57,La,Ka2,54,0.357616
37801,57,La,Kb1,19,0.125828
38729.9,57,La,Kb2,6,0.039735
37720.2,57,La,Kb3,10,0.066225
4651,57,La,La1,100,0.900901
4634.2,57,La,La2,11,0.099099
5042.1,57,La,Lb1,60,0.540541
5383.5,57,La,"Lb2,15",21,0.189189
5788.5,57,La,Lg1,9,0.081081
4124,57,La,Ll,4,0.036036
833,57,La,Ma1,100,1
54.3,3,Li,"Ka1,2",150,0.993377
54069.8,71,Lu,Ka1,100,0.662252
52965,71,Lu,Ka2,57,0.377483
61283,71,Lu,Kb1,21,0.139073
62970,71,Lu,Kb2,7,0.046358
61050,71,Lu,Kb3,11,0.072848
7655.5,71,Lu,La1,100,0.900901
7604.9,71,Lu,La2,11,0.099099
8709,71,Lu,Lb1,66,0.594595
9048.9,71,Lu,Lb2,19,0.171171
10143.4,71,Lu,Lg1,12,0.108108
