energy_eV,atomic_number,element,line,relative_intensity,col4_norm
446.5,23,V,Ll,28,0.252252
59318.2,74,W,Ka1,100,0.662252
57981.7,74,W,Ka2,58,0.384106
67244.3,74,W,Kb1,22,0.145695
69067,74,W,Kb2,8,0.05298
66951.4,74,W,Kb3,11,0.072848
8397.6,74,W,La1,100,0.900901
8335.2,74,W,La2,11,0.099099
9672.4,74,W,Lb1,67,0.603604
9961.5,74,W,Lb2,21,0.189189
11285.9,74,W,Lg1,13,0.117117
7387.8,74,W,Ll,5,0.045045
1775.4,74,W,Ma1,100,1
29779,54,Xe,Ka1,100,0.662252
29458,54,Xe,Ka2,54,0.357616
33624,54,Xe,Kb1,18,0.119205
34415,54,Xe,Kb2,5,0.033113
33562,54,Xe,Kb3,9,0.059603
4109.9,54,Xe,La1,100,0.900901
4093,54,Xe,La2,11,0.099099
4414,54,Xe,Lb1,60,0.540541
4714,54,Xe,"Lb2,15",20,0.18018
5034,54,Xe,Lg1,8,0.072072
3636,54,Xe,Ll,4,0.036036
14958.4,39,Y,Ka1,100,0.662252
14882.9,39,Y,Ka2,52,0.344371
16737.8,39,Y,Kb1,15,0.099338
17015.4,39,Y,Kb2,3,0.019868
16725.8,39,Y,Kb3,8,0.05298
1922.6,39,Y,La1,100,0.900901
1920.5,39,Y,La2,11,0.099099
1995.8,39,Y,Lb1,57,0.513514
1685.4,39,Y,Ll,5,0.045045
52388.9,70,Yb,Ka1,100,0.662252
51354,70,Yb,Ka2,57,0.377483
59370,70,Yb,Kb1,1,0.006623
60980,70,Yb,Kb2,7,0.046358
59140,70,Yb,Kb3,11,0.072848
7415.6,70,Yb,La1,100,0.900901
7367.3,70,Yb,"La1,2",2,0.018018
8401.8,70,Yb,Lb1,65,0.585586
8758.8,70,Yb,"Lb2,15",20,0.18018
9780.1,70,Yb,Lg1,12,0.108108
6545.5,70,Yb,Ll,4,0.036036
1521.4,70,Yb,Ma1,100,1
8638.9,30,Zn,Ka1,100,0.662252
8615.8,30,Zn,Ka2,51,0.337748
9572,30,Zn,"Kb1,3",17,0.112583
1011.7,30,Zn,"La1,2",111,1
1034.7,30,Zn,Lb1,65,0.585586
884,30,Zn,Ll,7,0.063063
15775.1,40,Zr,Ka1,100,0.662252
15690.9,40,Zr,Ka2,52,0.344371
17667.8,40,Zr,Kb1,15,0.099338
17970,40,Zr,Kb2,3,0.019868
17654,40,Zr,Kb3,8,0.05298
2042.4,40,Zr,La1,100,0.900901
2039.9,40,Zr,La2,11,0.099099
